season,seasons_used,player,pWAR,rate,balls_eq,wb_ipl,wb_t20,bf,bb,source,rate_shrunk
2021,"2018,2019,2020",Colin Munro,0.5927976852587933,0.1480783105634798,346.9,181.0,1106.0,181.0,0.0,IPL+T20I,0.16301936344616816
2021,"2018,2019,2020",Colin de Grandhomme,0.46349236080260436,0.0596872697495703,443.75,332.0,745.0,182.0,150.0,IPL+T20I,0.1274603992207162
2021,"2018,2019,2020",Corey Anderson,0.44731335913718745,-0.2941954135837693,79.55,74.0,37.0,22.0,52.0,IPL+T20I,0.12301117376272655
2021,"2018,2019,2020",Craig Young,0.5944258101098537,0.0656832180377301,49.8,0.0,332.0,,,T20I only,0.16346709778020976
2021,"2018,2019,2020",D'Arcy Short,0.443639757153878,-0.0182678538929703,241.65,117.0,831.0,99.0,18.0,IPL+T20I,0.12200093321731646
2021,"2018,2019,2020",Dale Steyn,0.17159942822786256,-0.1929318433151632,359.25,312.0,315.0,6.0,306.0,IPL+T20I,0.0471898427626622
2021,"2018,2019,2020",Dan Christian,0.4847034929125544,-0.1166217632149666,104.0,104.0,0.0,33.0,71.0,IPL only,0.13329346055095245
2021,"2018,2019,2020",Daniel Sams,0.15848564170415302,-0.3224775478068593,242.55,225.0,117.0,6.0,219.0,IPL+T20I,0.04358355146864208
2021,"2018,2019,2020",Danushka Gunathilaka,0.5653932525459997,0.0129009421022648,73.35,0.0,489.0,,,T20I only,0.1554831444501499
2021,"2018,2019,2020",Daryl Mitchell,0.5650729521413835,-0.0856143853571331,43.65,0.0,291.0,,,T20I only,0.15539506183888047
2021,"2018,2019,2020",Dasun Shanaka,0.539100370319991,-0.0375018490384123,83.55,0.0,557.0,,,T20I only,0.14825260183799754
2021,"2018,2019,2020",David Miller,0.4944196345258502,0.0851312034754389,474.5,392.0,550.0,392.0,0.0,IPL+T20I,0.1359653994946088
2021,"2018,2019,2020",David Warner,1.3019348316138815,0.4146502504671952,2319.5,2186.0,890.0,2183.0,3.0,IPL+T20I,0.3580320786938174
2021,"2018,2019,2020",David Willey,0.499063022079543,-0.0620453043379094,116.55,60.0,377.0,0.0,60.0,IPL+T20I,0.13724233107187434
2021,"2018,2019,2020",Dawid Malan,0.7638584453292447,0.3610605014100717,183.75,0.0,1225.0,,,T20I only,0.2100610724655423
2021,"2018,2019,2020",Deepak Chahar,0.45056642180620166,0.1085876103059476,2125.75,2032.0,625.0,83.0,1949.0,IPL+T20I,0.12390576599670546
2021,"2018,2019,2020",Deepak Hooda,0.4076843463356596,0.0270770098512484,480.0,480.0,0.0,420.0,60.0,IPL only,0.1121131952423064
2021,"2018,2019,2020",Denesh Ramdin,0.5803761680492627,-0.0507908123375425,36.0,0.0,240.0,,,T20I only,0.15960344621354725
2021,"2018,2019,2020",Devdutt Padikkal,0.6521617780155422,0.1848366055863494,1137.0,1137.0,0.0,1137.0,0.0,IPL only,0.1793444889542741
2021,"2018,2019,2020",Devon Conway,0.6445221459051522,0.2694930090498973,51.75,0.0,345.0,,,T20I only,0.17724359012391686
2021,"2018,2019,2020",Dhananjaya de Silva,0.5826869342236713,0.0543833639380046,67.35,0.0,449.0,,,T20I only,0.16023890691150963
2021,"2018,2019,2020",Dhawal Kulkarni,0.20501896357778168,-0.0736368129779982,614.0,614.0,0.0,19.0,595.0,IPL only,0.05638021498388997
2021,"2018,2019,2020",Dinesh Karthik,0.7751259874833728,0.2400980949444444,1110.5,1085.0,170.0,1085.0,0.0,IPL+T20I,0.21315964655792752
2021,"2018,2019,2020",Dwaine Pretorius,0.5917505266945574,0.0996425926310444,85.35,0.0,569.0,,,T20I only,0.1627313948410033
2021,"2018,2019,2020",Dwayne Bravo,0.5112541384049825,0.1265832225034832,1490.2,1438.0,348.0,241.0,1197.0,IPL+T20I,0.1405948880613702
2021,"2018,2019,2020",Eoin Morgan,0.7502644860819964,0.2304137200721866,1043.1,906.0,914.0,906.0,0.0,IPL+T20I,0.206322733672549
2021,"2018,2019,2020",Evin Lewis,0.6860772727078467,0.2161288367077666,465.2,380.0,568.0,380.0,0.0,IPL+T20I,0.18867124999465784
2021,"2018,2019,2020",Fabian Allen,0.5143253460744672,-0.0742859581972769,94.05,0.0,627.0,,,T20I only,0.14143947017047848
2021,"2018,2019,2020",Faf du Plessis,0.9489137457881389,0.2958856996771151,1813.95,1728.0,573.0,1728.0,0.0,IPL+T20I,0.2609512800917382
2021,"2018,2019,2020",Faheem Ashraf,0.5852033191352402,0.1025649336336133,113.85,0.0,759.0,,,T20I only,0.16093091276219104
2021,"2018,2019,2020",Fakhar Zaman,0.5977394424821546,0.1225831567615303,101.25,0.0,675.0,,,T20I only,0.16437834668259252
2021,"2018,2019,2020",Fareed Ahmad,0.6067612698493634,0.0845140947095692,30.3,0.0,202.0,,,T20I only,0.16685934920857493
2021,"2018,2019,2020",Gareth Delany,0.675533012633827,0.2706333420974414,126.6,0.0,844.0,,,T20I only,0.18577157847430242
2021,"2018,2019,2020",Gary Wilson,0.4920882390109061,-0.1691319876514665,80.7,0.0,538.0,,,T20I only,0.1353242657279992
2021,"2018,2019,2020",Gautam Gambhir,0.5013263623265568,-0.1211270788767894,88.0,88.0,0.0,88.0,0.0,IPL only,0.1378647496398031
2021,"2018,2019,2020",George Dockrell,0.5402245699262028,-0.0362616242670125,82.8,0.0,552.0,,,T20I only,0.14856175672970579
2021,"2018,2019,2020",George Linde,0.6255987763576932,0.1976895227168154,44.1,0.0,294.0,,,T20I only,0.17203966349836564
2021,"2018,2019,2020",Glenn Maxwell,0.3917469333686982,0.0670449934433248,1078.65,912.0,1111.0,438.0,474.0,IPL+T20I,0.107730406676392
2021,"2018,2019,2020",Glenn Phillips,0.6918326565423928,0.4417246458949606,55.2,0.0,368.0,,,T20I only,0.190253980549158
2021,"2018,2019,2020",Gulbadin Naib,0.5433199103897465,-0.0684762528990585,67.5,0.0,450.0,,,T20I only,0.1494129753571803
2021,"2018,2019,2020",Gurkeerat Singh Mann,0.29936850205792537,-0.0799583172266276,380.0,380.0,0.0,380.0,0.0,IPL only,0.08232633806592947
