player,pWAR_final,pWAR,WAR_recent,team,role,salary,capped,overseas,auctionStatus,ipl_balls_wtd,t20i_balls_wtd,balls_eq,source,ipl_balls_faced,ipl_balls_bowled,bat_pos,bowl_phase,bowl_kind,bat_group,balls_recent,pWAR_base,chg,WAR
Marcus Stoinis,0.496,0.5,0.5,DC,Allrounder,4.8,0,1,retained,1974.6,0.0,1974.6,IPL+T20I,469.0,353.0,5.0,Powerplay+Middle+Death,pace bowler,Middle,1974.6,0.5,0.0,0.5
Shimron Hetmyer,0.588,0.59,0.59,DC,Batter,7.75,0,1,retained,623.9,0.0,623.9,IPL+T20I,198.0,0.0,5.0,,,Middle,623.9,0.59,0.0,0.59
Rishabh Pant,0.979,0.98,0.98,DC,WK-Batter,8.0,0,0,retained,1972.45,0.0,1972.45,IPL+T20I,995.0,0.0,4.0,,,Middle,1972.45,0.98,0.0,0.98
Shreyas Iyer,0.827,0.83,0.83,DC,Batter,7.0,0,0,retained,2441.9,0.0,2441.9,IPL+T20I,1117.0,0.0,3.0,,,No3,2441.9,0.83,0.0,0.83
Ajinkya Rahane,0.737,0.74,0.74,DC,Batter,4.0,0,0,retained,1206.0,0.0,1206.0,IPL only,706.0,0.0,1.0,,,Opener,1206.0,0.74,0.0,0.74
Prithvi Shaw,1.271,1.27,1.27,DC,Batter,1.2,0,0,retained,1189.0,0.0,1189.0,IPL only,591.0,0.0,1.0,,,Opener,1189.0,1.27,0.0,1.27
Shikhar Dhawan,1.305,1.3,1.3,DC,Batter,5.2,0,0,retained,2613.6,0.0,2613.6,IPL+T20I,1174.0,0.0,2.0,,,Opener,2613.6,1.3,0.0,1.3
Pawan Negi,0.335,0.33,0.33,KKR,Allrounder,0.5,0,0,sold,187.0,0.0,187.0,IPL only,17.0,94.0,7.0,Middle,spin bowler,Lower,187.0,0.33,0.0,0.33
Venkatesh Iyer,0.0,0.0,0.0,KKR,Bowler,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Ben Cutting,0.378,0.38,0.38,KKR,Allrounder,0.75,0,1,sold,218.0,0.0,218.0,IPL only,75.0,117.0,7.0,Middle+Death,pace bowler,Lower,218.0,0.38,0.0,0.38
