player,pWAR_final,pWAR,WAR_recent,team,role,salary,capped,overseas,auctionStatus,ipl_balls_wtd,t20i_balls_wtd,balls_eq,source,ipl_balls_faced,ipl_balls_bowled,bat_pos,bowl_phase,bowl_kind,bat_group,balls_recent,pWAR_base,chg,WAR
Tilak Varma,2.285,2.01,1.73,MI,Batter,8,1,0,retained,1300,1491,1638.202439,IPL+T20I,700,4,5,Death,spin bowler,Middle,596,2.13,-0.12,2.02
Eshan Malinga,1.984,1.73,1.83,SRH,Bowler,1.2,1,1,retained,1109,325,1182.719512,IPL+T20I,9,414,10,Death+Middle+Powerplay,pace bowler,Tail,686,1.69,0.04,1.71
Rashid Khan,1.92,1.91,1.59,GT,Allrounder,18,1,1,retained,1889,1512,2231.965854,IPL+T20I,128,843,8,Death+Middle,spin bowler,Lower,918,2.05,-0.14,1.93
Prince Yadav,1.915,1.92,2.07,LSG,Bowler,0.3,0,0,retained,1035,0,1035,IPL only,11,383,10,Death+Middle+Powerplay,pace bowler,Tail,641,1.86,0.06,1.91
Noor Ahmad,1.87,1.9,2.05,CSK,Bowler,10,1,1,retained,1635,732,1801.039024,IPL+T20I,44,753,10,Middle,spin bowler,Tail,838,1.84,0.06,1.84
Ryan Rickelton,1.835,1.86,1.85,MI,WK-Batter,1,1,1,retained,1123,1000,1349.829268,IPL+T20I,460,,1,,,Opener,663,1.87,-0.01,1.81
Ayush Mhatre,1.83,1.83,1.92,CSK,Allrounder,0.3,0,0,retained,593,0,593,IPL only,240,,3,,,No3,353,1.79,0.04,1.83
Ashutosh Sharma,1.83,1.77,1.62,DC,Allrounder,3.8,0,0,retained,601,0,601,IPL only,318,,7,,,Lower,283,1.84,-0.07,1.89
Tristan Stubbs,1.82,1.8,1.6,DC,Batter,10,1,1,retained,1259,914,1466.321951,IPL+T20I,606,24,6,Middle,spin bowler,Lower,629,1.88,-0.08,1.84
Angkrish Raghuvanshi,1.78,1.85,2.28,KKR,Batter,3,0,0,retained,1129,0,1129,IPL only,518,,3,,,No3,611,1.66,0.19,1.71
Khaleel Ahmed,1.76,1.76,1.58,CSK,Bowler,4.8,1,0,retained,1174,86,1193.507317,IPL only,2,685,11,Death+Powerplay,pace bowler,Tail,487,1.84,-0.08,1.87
Mohammed Shami,1.725,1.79,2.18,LSG,Bowler,10,1,0,traded,1222,84,1241.053659,IPL only,32,439,9,Middle+Powerplay,pace bowler,Tail,751,1.62,0.17,1.66
Shivam Dube,1.68,1.55,1.16,CSK,Allrounder,12,1,0,retained,1210,1693,1594.021951,IPL+T20I,628,36,5,Middle,pace bowler,Middle,546,1.72,-0.17,1.59
Washington Sundar,1.28,1.78,2.33,GT,Allrounder,3.2,1,0,retained,1032,621,1172.860976,IPL+T20I,275,138,4,Middle,spin bowler,Middle,619,1.55,0.23,1.53
Cooper Connolly,1.64,1.72,2.13,PBKS,Allrounder,3,1,1,sold,741,452,843.5268293,IPL+T20I,247,,3,,,No3,494,1.54,0.18,1.56
Cameron Green,1.585,1.59,1.52,KKR,Batter,25.2,1,1,sold,1082,883,1282.290244,IPL+T20I,336,284,4,Death+Middle,pace bowler,Middle,462,1.62,-0.03,1.58
Mitchell Santner,1.58,1.62,1.42,MI,Allrounder,2,1,1,retained,920,2099,1396.114634,IPL+T20I,69,375,8,Middle+Powerplay,spin bowler,Lower,476,1.7,-0.08,1.54
Jamie Overton,1.51,1.61,1.96,CSK,Allrounder,1.5,1,1,retained,848,983,1070.973171,IPL+T20I,93,204,8,Death+Middle,pace bowler,Lower,551,1.46,0.15,1.41
Rinku Singh,1.43,1.54,1.72,KKR,Batter,13,1,0,retained,870,525,989.0853659,IPL+T20I,410,,6,,,Lower,460,1.46,0.08,1.46
Donovan Ferreira,1.495,1.54,1.76,RR,Allrounder,1,1,1,traded,446,420,541.2682927,IPL+T20I,145,12,7,Middle,spin bowler,Lower,289,1.45,0.09,1.45
Sherfane Rutherford,1.48,1.5,1.49,MI,Allrounder,2.6,1,1,traded,532,862,727.5268293,IPL+T20I,239,,4,,,Middle,293,1.51,-0.01,1.46
Travis Head,1.44,1.3,0.57,SRH,Batter,14,1,1,retained,1399,732,1565.039024,IPL+T20I,737,10,2,Middle,spin bowler,Opener,652,1.61,-0.31,1.58
Nitish Kumar Reddy,1.425,1.46,1.68,SRH,Allrounder,6,1,0,retained,1537,104,1560.590244,IPL+T20I,502,266,4,Middle+Powerplay,pace bowler,Middle,769,1.37,0.09,1.39
Lungi Ngidi,1.41,1.42,1.25,DC,Bowler,2,1,1,sold,727,1177,993.9780488,IPL+T20I,9,250,10,Death+Middle+Powerplay,pace bowler,Tail,468,1.49,-0.07,1.4
Sameer Rizvi,1.225,1.67,2.03,DC,Batter,0.95,0,0,retained,714,0,714,IPL only,293,,4,,,Middle,421,1.51,0.16,1.55
Finn Allen,2.16,1.4,1.2,KKR,WK-Batter,2,1,1,sold,306,873,504.0219512,IPL+T20I,102,,2,,,Opener,204,1.49,-0.09,1.41
Mohsin Khan,1.295,1.3,1.41,LSG,Bowler,4,0,0,retained,601,0,601,IPL only,5,348,11,Death+Middle+Powerplay,pace bowler,Tail,248,1.26,0.04,1.29
Ayush Badoni,1.16,1.32,1.52,LSG,Batter,4,0,0,retained,1031,0,1031,IPL only,515,28,5,Death+Middle,spin bowler,Middle,488,1.23,0.09,1.26
Sakib Hussain,1.12,1.25,1.22,SRH,Bowler,0.3,0,0,sold,543,0,543,IPL only,,181,,Death+Middle+Powerplay,pace bowler,,362,1.27,-0.02,1.3
