player,bf,v_bat,rate_bat,bb,v_bowl,rate_bowl,balls,VORP,rate,WAR_cum,wballs,WAR,target,t_years,is_mega
Rinku Singh,362.0,120.1879627365883,0.33201094678615556,0.0,0.0,0.0,362.0,120.1879627365883,0.33201094678615556,1.456823790746525,362.0,1.2073125337678383,2023,2,False
Shikhar Dhawan,2494.0,824.6837806709898,0.33066711334041293,0.0,0.0,0.0,2494.0,824.6837806709898,0.33066711334041293,9.99616703843624,2494.0,1.2024258666924106,2023,2,False
Shubman Gill,2274.0,744.7184645915952,0.3274927284923462,0.0,0.0,0.0,2274.0,744.7184645915952,0.3274927284923462,9.026890479898123,2274.0,1.190882649063077,2023,2,False
Glenn Maxwell,1352.0,508.65142072464033,0.376221465033018,750.0,169.67182328540076,0.22622909771386768,2102.0,678.3232440100411,0.3227037316888873,8.222099927394437,2102.0,1.1734681152323174,2023,2,False
Shimron Hetmyer,1025.0,327.3627811718124,0.31937832309445113,0.0,0.0,0.0,1025.0,327.3627811718124,0.31937832309445113,3.968033711173484,1025.0,1.1613757203434587,2023,2,False
Jasprit Bumrah,61.0,-33.61877697588868,-0.5511274914080111,1994.0,678.4995520483919,0.34027058778755864,2055.0,644.8807750725033,0.31381059614233736,7.816736667545494,2055.0,1.1411294405175902,2023,2,False
Jitesh Sharma,429.0,133.55064153429572,0.31130685672330005,0.0,0.0,0.0,429.0,133.55064153429572,0.31130685672330005,1.6187956549611602,429.0,1.132024933539273,2023,2,False
Robin Uthappa,845.0,257.6278098940487,0.3048849821231346,0.0,0.0,0.0,845.0,257.6278098940487,0.3048849821231346,3.1227613320490755,845.0,1.108672662265944,2023,2,False
Ishan Kishan,1758.0,533.6599597675273,0.3035608417335195,0.0,0.0,0.0,1758.0,533.6599597675273,0.3035608417335195,6.468605572939725,1758.0,1.1038576063037073,2023,2,False
Nitish Rana,1635.0,556.9516842726198,0.34064323197102125,72.0,-39.61904829347694,-0.5502645596316242,1707.0,517.3326359791429,0.30306539893329987,6.270698617929004,1707.0,1.1020559961210905,2023,2,False
Chris Woakes,22.0,8.980954749697919,0.4082252158953599,134.0,37.89124528326033,0.28277048718850994,156.0,46.87220003295825,0.3004628207240913,0.5681478791873726,156.0,1.092592075360332,2023,2,False
Evin Lewis,354.0,106.04124060731364,0.29955152713930405,0.0,0.0,0.0,354.0,106.04124060731364,0.29955152713930405,1.2853483709977411,354.0,1.0892782805065602,2023,2,False
Shane Watson,247.0,72.28106719703325,0.2926358995831306,0.0,0.0,0.0,247.0,72.28106719703325,0.2926358995831306,0.8761341478428273,247.0,1.0641305439386566,2023,2,False
